1;;4m42.369791669s;65.6526 GiB;462667
2;;3m59.984218155s;65.6793 GiB;462759
3;;3m35.129380055s;65.7019 GiB;462785
4;;3m14.215616052s;65.7164 GiB;462804
5;;3m8.474603669s;65.7250 GiB;462801
6;;3m3.357902768s;65.7367 GiB;462839
7;;3m2.176744489s;65.7552 GiB;462948
8;;2m56.44961592s;65.7609 GiB;462900
9;;3m0.737177048s;65.7609 GiB;462816
10;;2m57.017800939s;65.7608 GiB;462821
15;;2m53.988774665s;65.7593 GiB;462857
20;;2m48.474408846s;65.7603 GiB;462847
25;;2m46.719824793s;65.7597 GiB;462851
30;;2m48.213341597s;65.7607 GiB;462857
35;;2m45.63316115s;65.7601 GiB;462909
40;;2m45.183857454s;65.7610 GiB;462909
45;;2m42.544549759s;65.7605 GiB;462947
50;;2m40.989950665s;65.7608 GiB;462955
55;;2m41.638453338s;65.7601 GiB;462981
60;;2m40.752002854s;65.7601 GiB;462985
65;;2m41.957103081s;65.7608 GiB;462929
70;;2m40.465031262s;65.7607 GiB;462908
75;;2m41.867298245s;65.7610 GiB;462929
80;;2m39.771505768s;65.7604 GiB;462918
85;;2m40.104088384s;65.7599 GiB;462869
90;;2m39.946804088s;65.7606 GiB;462870
95;;2m43.593758421s;65.7606 GiB;462886
100;;2m40.157948621s;65.7606 GiB;462887
105;;2m40.023732971s;65.7604 GiB;462881
110;;2m39.220711482s;65.7604 GiB;462881
115;;2m39.945328406s;65.7605 GiB;462881
120;;2m40.466059428s;65.7599 GiB;462854
125;;2m53.630604153s;65.7611 GiB;462854
130;;2m45.303138668s;65.7609 GiB;462824
135;;2m42.199193202s;65.7609 GiB;462824
140;;2m41.027070318s;65.7600 GiB;462846
145;;2m38.894659399s;65.7601 GiB;462867
150;;2m38.781261102s;65.7605 GiB;462960
155;;2m38.307367695s;65.7591 GiB;462965
160;;2m38.089243057s;65.6137 GiB;462492
165;;2m38.288540749s;65.6137 GiB;462497
170;;2m38.52798188s;65.6137 GiB;462497
175;;2m40.627568402s;65.6137 GiB;462497
180;;2m39.653348053s;65.6134 GiB;462419
185;;2m39.292318899s;65.6134 GiB;462419
190;;2m37.880686044s;65.6134 GiB;462419
195;;2m36.467172831s;65.6134 GiB;462419
200;;2m38.097103704s;65.6134 GiB;462419
